species_id,PC1,PC2,PC3
Genus_A_sp1,-0.5118,0.6137,-0.1583
Genus_A_sp2,-0.6301,-1.1160,-0.1493
Genus_A_sp3,2.2238,0.5090,0.7258
Genus_A_sp4,0.4978,0.4737,0.1297
Genus_A_sp5,-3.3321,1.0263,0.3545
Genus_A_sp6,0.9976,-2.0296,-1.2207
Genus_B_sp1,-1.7792,-0.5618,0.2138
Genus_B_sp2,-0.0918,0.6252,-0.4496
Genus_B_sp3,0.6174,0.4730,-0.4628
Genus_B_sp4,3.4351,0.6679,0.8379
Genus_B_sp5,-1.2407,-0.8874,-0.2408
Genus_B_sp6,-0.2128,0.7585,0.1739
Genus_C_sp1,-0.8947,-1.1483,-0.3644
Genus_C_sp2,2.4418,-0.9695,0.1713
Genus_C_sp3,0.8530,-1.7877,0.0339
Genus_C_sp4,2.6125,-2.4172,-0.2251
Genus_C_sp5,-0.2123,-0.9807,0.3482
